Title,Description,Sentiment,Title_Emoji_Converted,Description_Emoji_Converted,Title_Clean,Description_Clean
"Excelente procesador, económico y rapido","Compré estos procesadores y pude ensamblar la computadora de mi hijo con 16GB ram y puede jugar al fornite, la tarjeta de video que usé es de 6GB, recomiendo ampliamente el procesador por el precio y lo rápido que es",neutral,"Excelente procesador, económico y rapido","Compré estos procesadores y pude ensamblar la computadora de mi hijo con 16GB ram y puede jugar al fornite, la tarjeta de video que usé es de 6GB, recomiendo ampliamente el procesador por el precio y lo rápido que es",excelente procesador econmico y rapido,compr estos procesadores y pude ensamblar la computadora de mi hijo con 16gb ram y puede jugar al fornite la tarjeta de video que us es de 6gb recomiendo ampliamente el procesador por el precio y lo rpido que es
Ok,Ok,positive,Ok,Ok,ok,ok
It's amazing how far i3s have come!,"Compared to the i3 of just a few generations ago, it's amazing how far these mid-entry-level CPUs have come.

I upgraded my Plex server to a new motherboard and this i3-12100 and performance is excellent.

Included CPU cooler isn't great but it's good enough.",positive,It's amazing how far i3s have come!,"Compared to the i3 of just a few generations ago, it's amazing how far these mid-entry-level CPUs have come.

I upgraded my Plex server to a new motherboard and this i3-12100 and performance is excellent.

Included CPU cooler isn't great but it's good enough.",its amazing how far i3s have come,"compared to the i3 of just a few generations ago its amazing how far these midentrylevel cpus have come

i upgraded my plex server to a new motherboard and this i312100 and performance is excellent

included cpu cooler isnt great but its good enough"
The Brave Little CPU That Could.,"I'm very impressed with this CPU. If I had the money I would get the I5-12600 Non-K for video work because of the extra cores but the I3-12100 is freaking amazing. This is the most powerful CPU I have ever used. It can do the video editing I need done for now until I get better. It uses hardly any power, stays cool and is capable of much more than I need for now. I had never been able to do video editing before because the computer would lock up regardless of how fast the HDD was or how much RAM I had.",positive,The Brave Little CPU That Could.,"I'm very impressed with this CPU. If I had the money I would get the I5-12600 Non-K for video work because of the extra cores but the I3-12100 is freaking amazing. This is the most powerful CPU I have ever used. It can do the video editing I need done for now until I get better. It uses hardly any power, stays cool and is capable of much more than I need for now. I had never been able to do video editing before because the computer would lock up regardless of how fast the HDD was or how much RAM I had.",the brave little cpu that could,im very impressed with this cpu if i had the money i would get the i512600 nonk for video work because of the extra cores but the i312100 is freaking amazing this is the most powerful cpu i have ever used it can do the video editing i need done for now until i get better it uses hardly any power stays cool and is capable of much more than i need for now i had never been able to do video editing before because the computer would lock up regardless of how fast the hdd was or how much ram i had
Great power on a budget,I've built 3 computers for clients on a budget using this CPU. It's power per dollar is great and it's on board graphics are good enough to run most games okay if you are on a really tight budget.,positive,Great power on a budget,I've built 3 computers for clients on a budget using this CPU. It's power per dollar is great and it's on board graphics are good enough to run most games okay if you are on a really tight budget.,great power on a budget,ive built 3 computers for clients on a budget using this cpu its power per dollar is great and its on board graphics are good enough to run most games okay if you are on a really tight budget
Works very well even with the provided heatsink and fan.,it works well in my Linux system. I photo edit using gimp.,neutral,Works very well even with the provided heatsink and fan.,it works well in my Linux system. I photo edit using gimp.,works very well even with the provided heatsink and fan,it works well in my linux system i photo edit using gimp
Best CPU for the money,"Great little CPU. I just wanted an entertainment server so I built a quick and dirty $500 computer, but I might actually use this for my video editing and gaming machine instead. Immediately ran benchmarks and was pleasantly surprised. This thing can game and it can be a workhorse. It comes with a fan that's just fine but I had already purchased a separate fan/cooler before realizing this came with one, so I'm using that instead. This is one of those no-brainer items where you're guaranteed quality and performance at a very low price. I wish all items were as good.",positive,Best CPU for the money,"Great little CPU. I just wanted an entertainment server so I built a quick and dirty $500 computer, but I might actually use this for my video editing and gaming machine instead. Immediately ran benchmarks and was pleasantly surprised. This thing can game and it can be a workhorse. It comes with a fan that's just fine but I had already purchased a separate fan/cooler before realizing this came with one, so I'm using that instead. This is one of those no-brainer items where you're guaranteed quality and performance at a very low price. I wish all items were as good.",best cpu for the money,great little cpu i just wanted an entertainment server so i built a quick and dirty 500 computer but i might actually use this for my video editing and gaming machine instead immediately ran benchmarks and was pleasantly surprised this thing can game and it can be a workhorse it comes with a fan thats just fine but i had already purchased a separate fancooler before realizing this came with one so im using that instead this is one of those nobrainer items where youre guaranteed quality and performance at a very low price i wish all items were as good
Excellent Budget Processor,"At 4 cores and 8 threads, this processor is equivalent to the top tier i7 processors of just a few years ago. Mine is paired with 16 GB of RAM and an RX 6600, and it handles everything I do (1080 gaming) very comfortably.

The heat sink that is included is very minimalist, but it does the job. Idle temperature is about 40C and the processor peaks at about 65C under load. That being said, the fan is very audible at max speed (3,000 RPM) to maintain that stable temperature under load. One might be wise to consider a different heat sink on a gaming computer. Almost any air-cooled device would be sufficient. Liquid cooling would be overkill.
Otherwise, it will handle everyday home office tasks with little effort.",positive,Excellent Budget Processor,"At 4 cores and 8 threads, this processor is equivalent to the top tier i7 processors of just a few years ago. Mine is paired with 16 GB of RAM and an RX 6600, and it handles everything I do (1080 gaming) very comfortably.

The heat sink that is included is very minimalist, but it does the job. Idle temperature is about 40C and the processor peaks at about 65C under load. That being said, the fan is very audible at max speed (3,000 RPM) to maintain that stable temperature under load. One might be wise to consider a different heat sink on a gaming computer. Almost any air-cooled device would be sufficient. Liquid cooling would be overkill.
Otherwise, it will handle everyday home office tasks with little effort.",excellent budget processor,"at 4 cores and 8 threads this processor is equivalent to the top tier i7 processors of just a few years ago mine is paired with 16 gb of ram and an rx 6600 and it handles everything i do 1080 gaming very comfortably

the heat sink that is included is very minimalist but it does the job idle temperature is about 40c and the processor peaks at about 65c under load that being said the fan is very audible at max speed 3000 rpm to maintain that stable temperature under load one might be wise to consider a different heat sink on a gaming computer almost any aircooled device would be sufficient liquid cooling would be overkill
otherwise it will handle everyday home office tasks with little effort"
Affordable intel cpu with built in graphics,Works great in MSI mobo,positive,Affordable intel cpu with built in graphics,Works great in MSI mobo,affordable intel cpu with built in graphics,works great in msi mobo
Excelente,Buenas temperaturas con el disipador de fabrica y buen rendimiento al jugar y trabajar,neutral,Excelente,Buenas temperaturas con el disipador de fabrica y buen rendimiento al jugar y trabajar,excelente,buenas temperaturas con el disipador de fabrica y buen rendimiento al jugar y trabajar
"The True ""Sweet Spot"" in 12th Gen Processors!","Absolutely nothing bad to say about the i5-12500! It bridges the gap between features and performance of Intel's higher end CPU's, which run hot and are prohibitively expensive, and budget entries that are likely to become outdated in just a few years. Very happy with the overall performance of this unit, especially alongside an Nvidia 3080ti GPU for gaming, streaming, encoding, and video editing! Runs cool and fast with good benchmarks. Definitely an ideal choice for a budget-conscious, high-end DDR4 gaming system while waiting for DDR5 to hit better price-to-performance ratios. Highly recommended!",positive,"The True ""Sweet Spot"" in 12th Gen Processors!","Absolutely nothing bad to say about the i5-12500! It bridges the gap between features and performance of Intel's higher end CPU's, which run hot and are prohibitively expensive, and budget entries that are likely to become outdated in just a few years. Very happy with the overall performance of this unit, especially alongside an Nvidia 3080ti GPU for gaming, streaming, encoding, and video editing! Runs cool and fast with good benchmarks. Definitely an ideal choice for a budget-conscious, high-end DDR4 gaming system while waiting for DDR5 to hit better price-to-performance ratios. Highly recommended!",the true sweet spot in 12th gen processors,absolutely nothing bad to say about the i512500 it bridges the gap between features and performance of intels higher end cpus which run hot and are prohibitively expensive and budget entries that are likely to become outdated in just a few years very happy with the overall performance of this unit especially alongside an nvidia 3080ti gpu for gaming streaming encoding and video editing runs cool and fast with good benchmarks definitely an ideal choice for a budgetconscious highend ddr4 gaming system while waiting for ddr5 to hit better pricetoperformance ratios highly recommended
De momento va todo bien,Recomendado al 100%,neutral,De momento va todo bien,Recomendado al 100%,de momento va todo bien,recomendado al 100
i5 12th gen made a huge difference in my gaming frames,"Seeing how video cards that are 3xxx series are selling for triple list price, I don't want to spend $1K on a video card when I have a GTX 1660, now that I have the i5-12500 my frame rates have gone up significantly in Valerant and other games I play. I went from 65 frames to 300 frames. I am very happy with the 12th gen I5.",positive,i5 12th gen made a huge difference in my gaming frames,"Seeing how video cards that are 3xxx series are selling for triple list price, I don't want to spend $1K on a video card when I have a GTX 1660, now that I have the i5-12500 my frame rates have gone up significantly in Valerant and other games I play. I went from 65 frames to 300 frames. I am very happy with the 12th gen I5.",i5 12th gen made a huge difference in my gaming frames,seeing how video cards that are 3xxx series are selling for triple list price i dont want to spend 1k on a video card when i have a gtx 1660 now that i have the i512500 my frame rates have gone up significantly in valerant and other games i play i went from 65 frames to 300 frames i am very happy with the 12th gen i5
Automatically Overclocks,"I run this in a ripping/BOINC 130+% CPU environment. It is automatically running constantly overclocked at 4+GHz on my Asus MB and my Mugen 5 revC cooler is readily taking care of what heat it is producing, keeping it well under 60DegC. There is still CPU headroom for my non-constant desktop needs, with instant response.",positive,Automatically Overclocks,"I run this in a ripping/BOINC 130+% CPU environment. It is automatically running constantly overclocked at 4+GHz on my Asus MB and my Mugen 5 revC cooler is readily taking care of what heat it is producing, keeping it well under 60DegC. There is still CPU headroom for my non-constant desktop needs, with instant response.",automatically overclocks,i run this in a rippingboinc 130 cpu environment it is automatically running constantly overclocked at 4ghz on my asus mb and my mugen 5 revc cooler is readily taking care of what heat it is producing keeping it well under 60degc there is still cpu headroom for my nonconstant desktop needs with instant response
Top notch seller.,"Intel 12500.
Nice cool running processor.Shocked how well UHD Graphics 770 works for light gaming.

Seller was great.Amazon packaging is off on boxed processors.Shipped in “bag” not box.Prone to shipping damage.",positive,Top notch seller.,"Intel 12500.
Nice cool running processor.Shocked how well UHD Graphics 770 works for light gaming.

Seller was great.Amazon packaging is off on boxed processors.Shipped in “bag” not box.Prone to shipping damage.",top notch seller,"intel 12500
nice cool running processorshocked how well uhd graphics 770 works for light gaming

seller was greatamazon packaging is off on boxed processorsshipped in bag not boxprone to shipping damage"
Intel I5-12500 with UHD 770,Very good for HTPC. With two media engines for AV1 hardware decode.,positive,Intel I5-12500 with UHD 770,Very good for HTPC. With two media engines for AV1 hardware decode.,intel i512500 with uhd 770,very good for htpc with two media engines for av1 hardware decode
Dishonest seller,"I purchased this product from ""Computer Upgrade King"", and it was described as being the retail model of the processor with the stock heat sink. Instead it came with a crappy oversized ""gaming"" heatsink and wrapped in cardboard rather than anti-static packaging. I've had to return it, as this oversized heatsink and fan will not fit in my NAS. Do not buy anything from ""Computer Upgrade King"".",negative,Dishonest seller,"I purchased this product from ""Computer Upgrade King"", and it was described as being the retail model of the processor with the stock heat sink. Instead it came with a crappy oversized ""gaming"" heatsink and wrapped in cardboard rather than anti-static packaging. I've had to return it, as this oversized heatsink and fan will not fit in my NAS. Do not buy anything from ""Computer Upgrade King"".",dishonest seller,i purchased this product from computer upgrade king and it was described as being the retail model of the processor with the stock heat sink instead it came with a crappy oversized gaming heatsink and wrapped in cardboard rather than antistatic packaging ive had to return it as this oversized heatsink and fan will not fit in my nas do not buy anything from computer upgrade king
Good CPU for Price,Price was fair and performs as expected. iGPU is great for media transcoding.,positive,Good CPU for Price,Price was fair and performs as expected. iGPU is great for media transcoding.,good cpu for price,price was fair and performs as expected igpu is great for media transcoding
Great CPU,"I love this CPU, it chunks though decent workloads without issue. I am rather impressed with the video capabilities of this processor, it does a great job for being on-board graphics. I would not recommend it for a gamer as being a replacement for a GPU, but it does run AOE IV fine. I have this for my 3d Rendering / Slicing workstation and it does the job great, I have the i7-12700F in my 3d printer as its a headless configuration, i didn't need the graphics at the time.",positive,Great CPU,"I love this CPU, it chunks though decent workloads without issue. I am rather impressed with the video capabilities of this processor, it does a great job for being on-board graphics. I would not recommend it for a gamer as being a replacement for a GPU, but it does run AOE IV fine. I have this for my 3d Rendering / Slicing workstation and it does the job great, I have the i7-12700F in my 3d printer as its a headless configuration, i didn't need the graphics at the time.",great cpu,i love this cpu it chunks though decent workloads without issue i am rather impressed with the video capabilities of this processor it does a great job for being onboard graphics i would not recommend it for a gamer as being a replacement for a gpu but it does run aoe iv fine i have this for my 3d rendering  slicing workstation and it does the job great i have the i712700f in my 3d printer as its a headless configuration i didnt need the graphics at the time
Great CPU,"Not 2.1ghz, just at resting speed",neutral,Great CPU,"Not 2.1ghz, just at resting speed",great cpu,not 21ghz just at resting speed
"I don't need no 13th, or 14th Gen!",Best 'bang for the bucks' Intel CPU on the market today. Get One!,positive,"I don't need no 13th, or 14th Gen!",Best 'bang for the bucks' Intel CPU on the market today. Get One!,i dont need no 13th or 14th gen,best bang for the bucks intel cpu on the market today get one
Great CPU,"I'm using the stock Intel cooler that came with my 12700 and the highest I hit in games is about 79c, most of the time is stays in the low 70s. Idle temps stay in the 30s. That's with the cpu wattage unlocked and raising the pl1 and pl2 settings a bit in the bios and a single intake and single exhaust fan in a mid size case. I learned a long time ago that ambient room temp and fan curves are very important. You want to exhaust as much hot air as you can out of the case as fast as possible. You can mount a skyscraper to your CPU and have 12 case fans, if your room temp is high and you don't set proper fan curves, you'll still run hot. I don't care about cinebench or other benchmarks, most games people play and apps people use on a daily basis will never stress the CPU anywhere near what a benchmark will. If you do a lot of heavy video editing and conversion work and raise your wattage limits way up then yes go for a higher end cooling solution .

Edit: I've since installed an Intel RH1 cooler (the one that comes with the i9) on this chip and it dropped my temps by an average of about 8c. I know I can buy a third party cooler but I don't want a huge cpu cooler in my case and I don't want to play with brackets that may not fit 100% correctly. You can find new RH1 coolers on ebay for pretty cheap.",positive,Great CPU,"I'm using the stock Intel cooler that came with my 12700 and the highest I hit in games is about 79c, most of the time is stays in the low 70s. Idle temps stay in the 30s. That's with the cpu wattage unlocked and raising the pl1 and pl2 settings a bit in the bios and a single intake and single exhaust fan in a mid size case. I learned a long time ago that ambient room temp and fan curves are very important. You want to exhaust as much hot air as you can out of the case as fast as possible. You can mount a skyscraper to your CPU and have 12 case fans, if your room temp is high and you don't set proper fan curves, you'll still run hot. I don't care about cinebench or other benchmarks, most games people play and apps people use on a daily basis will never stress the CPU anywhere near what a benchmark will. If you do a lot of heavy video editing and conversion work and raise your wattage limits way up then yes go for a higher end cooling solution .

Edit: I've since installed an Intel RH1 cooler (the one that comes with the i9) on this chip and it dropped my temps by an average of about 8c. I know I can buy a third party cooler but I don't want a huge cpu cooler in my case and I don't want to play with brackets that may not fit 100% correctly. You can find new RH1 coolers on ebay for pretty cheap.",great cpu,"im using the stock intel cooler that came with my 12700 and the highest i hit in games is about 79c most of the time is stays in the low 70s idle temps stay in the 30s thats with the cpu wattage unlocked and raising the pl1 and pl2 settings a bit in the bios and a single intake and single exhaust fan in a mid size case i learned a long time ago that ambient room temp and fan curves are very important you want to exhaust as much hot air as you can out of the case as fast as possible you can mount a skyscraper to your cpu and have 12 case fans if your room temp is high and you dont set proper fan curves youll still run hot i dont care about cinebench or other benchmarks most games people play and apps people use on a daily basis will never stress the cpu anywhere near what a benchmark will if you do a lot of heavy video editing and conversion work and raise your wattage limits way up then yes go for a higher end cooling solution 

edit ive since installed an intel rh1 cooler the one that comes with the i9 on this chip and it dropped my temps by an average of about 8c i know i can buy a third party cooler but i dont want a huge cpu cooler in my case and i dont want to play with brackets that may not fit 100 correctly you can find new rh1 coolers on ebay for pretty cheap"
VMWare ESXi and E-Cores,"As a desktop processor for Windows, the CPU is great. My use case is as a consumer-grade ESXi server (specifically the latest version, 8). As I feared, ESXi cannot be installed with the stupid E-cores. So, one must disable them in BIOS and all is good. So essentially it's used as an eight P-core processor only.

ESXi is designed for server-grade hardware, which doesn't have the silly E-cores. Perhaps one day VMWare will be able to at least detect E-cores processors and not use them (or treat them differently).

My motherboard is an ASUS ROG Strix B760-I along with Corsair 2x48GB DDR5 RAM (CMK96GX5M2B6400C32, 96GB total) and a 4TB M.2 drive.",positive,VMWare ESXi and E-Cores,"As a desktop processor for Windows, the CPU is great. My use case is as a consumer-grade ESXi server (specifically the latest version, 8). As I feared, ESXi cannot be installed with the stupid E-cores. So, one must disable them in BIOS and all is good. So essentially it's used as an eight P-core processor only.

ESXi is designed for server-grade hardware, which doesn't have the silly E-cores. Perhaps one day VMWare will be able to at least detect E-cores processors and not use them (or treat them differently).

My motherboard is an ASUS ROG Strix B760-I along with Corsair 2x48GB DDR5 RAM (CMK96GX5M2B6400C32, 96GB total) and a 4TB M.2 drive.",vmware esxi and ecores,"as a desktop processor for windows the cpu is great my use case is as a consumergrade esxi server specifically the latest version 8 as i feared esxi cannot be installed with the stupid ecores so one must disable them in bios and all is good so essentially its used as an eight pcore processor only

esxi is designed for servergrade hardware which doesnt have the silly ecores perhaps one day vmware will be able to at least detect ecores processors and not use them or treat them differently

my motherboard is an asus rog strix b760i along with corsair 2x48gb ddr5 ram cmk96gx5m2b6400c32 96gb total and a 4tb m2 drive"
Exceptional Business Performance,I built 7 desktop business computers with this processor. Great performance. Office programs open almost instantaneously. QuickBooks opening much faster. Network accessibility improved. Low fan noise and temperature. We are very happy with this Intel processor. Computer companies are pushing the 10th and 11th generation to reduce their inventory. Building the computers ourselves let us be on the latest and best performing 12th generation.,positive,Exceptional Business Performance,I built 7 desktop business computers with this processor. Great performance. Office programs open almost instantaneously. QuickBooks opening much faster. Network accessibility improved. Low fan noise and temperature. We are very happy with this Intel processor. Computer companies are pushing the 10th and 11th generation to reduce their inventory. Building the computers ourselves let us be on the latest and best performing 12th generation.,exceptional business performance,i built 7 desktop business computers with this processor great performance office programs open almost instantaneously quickbooks opening much faster network accessibility improved low fan noise and temperature we are very happy with this intel processor computer companies are pushing the 10th and 11th generation to reduce their inventory building the computers ourselves let us be on the latest and best performing 12th generation
